experiment,scene,images,detector,threshold,blend_mode,keypoints1,keypoints2,matches,inliers,inlier_ratio,status
indoor_scene blend-multiband,indoor_scene,img1.jpg-img2.jpg,orb,3.0,multiband,3885,5000,116,16,13.7931,SUCCESS
outdoor_scene1 blend-simple,outdoor_scene1,img1.jpg-img2.jpg,orb,3.0,simple,5000,5000,156,67,42.9487,SUCCESS
outdoor_scene1 blend-feather,outdoor_scene1,img1.jpg-img2.jpg,orb,3.0,feather,5000,5000,156,67,42.9487,SUCCESS
outdoor_scene1 blend-multiband,outdoor_scene1,img1.jpg-img2.jpg,orb,3.0,multiband,5000,5000,156,67,42.9487,SUCCESS
outdoor_scene2 blend-simple,outdoor_scene2,img1.jpg-img2.jpg,orb,3.0,simple,5000,5000,81,32,39.5062,SUCCESS
outdoor_scene2 blend-feather,outdoor_scene2,img1.jpg-img2.jpg,orb,3.0,feather,5000,5000,81,32,39.5062,SUCCESS
outdoor_scene2 blend-multiband,outdoor_scene2,img1.jpg-img2.jpg,orb,3.0,multiband,5000,5000,81,32,39.5062,SUCCESS
indoor_scene multi-orb,indoor_scene,multi-image,orb,3.0,feather,0,0,0,0,0,SUCCESS
indoor_scene multi-akaze,indoor_scene,multi-image,akaze,3.0,feather,0,0,0,0,0,FAILED
indoor_scene multi-sift,indoor_scene,multi-image,sift,3.0,feather,0,0,0,0,0,SUCCESS
outdoor_scene1 multi-orb,outdoor_scene1,multi-image,orb,3.0,feather,0,0,0,0,0,SUCCESS
outdoor_scene1 multi-akaze,outdoor_scene1,multi-image,akaze,3.0,feather,0,0,0,0,0,SUCCESS
outdoor_scene1 multi-sift,outdoor_scene1,multi-image,sift,3.0,feather,0,0,0,0,0,SUCCESS
outdoor_scene2 multi-orb,outdoor_scene2,multi-image,orb,3.0,feather,0,0,0,0,0,SUCCESS
outdoor_scene2 multi-akaze,outdoor_scene2,multi-image,akaze,3.0,feather,0,0,0,0,0,SUCCESS
outdoor_scene2 multi-sift,outdoor_scene2,multi-image,sift,3.0,feather,0,0,0,0,0,SUCCESS
